cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,972,1024,4096,ck,18,0,20.9319,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,389.54,485.68,0.0
256,973,1024,4096,ck,18,0,20.9229,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,390.1,486.19,0.0
256,974,1024,4096,ck,18,0,21.0915,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,387.38,482.59,0.0
256,975,1024,4096,ck,18,0,20.9506,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,390.39,486.13,0.0
256,976,1024,4096,ck,18,0,21.1922,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,386.33,480.88,0.0
256,977,1024,4096,ck,18,0,20.853,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,393.02,488.99,0.0
256,978,1024,4096,ck,12,0,21.1596,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,387.72,482.2,0.0
256,979,1024,4096,ck,18,0,21.0098,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,390.89,485.93,0.0
256,980,1024,4096,ck,18,0,21.0322,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,390.87,485.7,0.0
256,981,1024,4096,ck,18,0,21.0546,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,390.85,485.48,0.0
256,982,1024,4096,ck,18,0,21.0039,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,392.19,486.94,0.0
256,983,1024,4096,ck,18,0,20.9476,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,393.65,488.55,0.0
256,984,1024,4096,ck,18,0,20.8662,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,395.59,490.75,0.0
256,985,1024,4096,ck,18,0,21.0139,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,393.21,487.59,0.0
256,986,1024,4096,ck,18,0,20.9748,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,394.34,488.79,0.0
256,987,1024,4096,ck,18,0,20.9873,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,394.5,488.79,0.0
256,988,1024,4096,ck,18,0,21.017,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,394.34,488.39,0.0
256,989,1024,4096,ck,18,0,21.0473,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,394.18,487.98,0.0
256,990,1024,4096,ck,12,0,21.0075,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,395.32,489.2,0.0
256,991,1024,4096,ck,18,0,20.8891,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,397.96,492.27,0.0
256,992,1024,4096,ck,12,0,19.253,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,432.22,534.42,0.0
256,993,1024,4096,ck,18,0,20.8763,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,399.01,493.16,0.0
256,994,1024,4096,ck,18,0,20.9945,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,397.16,490.67,0.0
256,995,1024,4096,ck,18,0,21.0512,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,396.49,489.64,0.0
256,996,1024,4096,ck,18,0,20.9484,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,398.84,492.34,0.0
256,997,1024,4096,ck,18,0,20.9201,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,399.78,493.3,0.0
256,998,1024,4096,ck,18,0,20.9976,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,398.7,491.77,0.0
256,999,1024,4096,ck,18,0,20.9592,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,399.83,492.97,0.0
256,1000,1024,4096,ck,18,0,20.9242,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,400.9,494.08,0.0
