gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,10240,3392,6144,ck,0,0,565.4447,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,754.83,270.98,0.0
gfx942,304,12288,3392,6144,ck,0,0,658.0917,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,778.27,273.06,0.0
gfx942,304,14336,3392,6144,ck,0,0,760.6329,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,785.58,271.06,0.0
gfx942,304,16384,3392,6144,ck,0,0,886.6631,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,770.19,262.39,0.0
gfx942,304,24576,3392,6144,ck,0,0,1308.068,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,783.1,258.82,0.0
gfx942,304,32768,3392,6144,ck,0,0,1756.891,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,777.4,252.98,0.0
gfx942,304,49152,3392,6144,ck,0,0,2644.5128,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,774.7,248.17,0.0
gfx942,304,65536,3392,6144,ck,0,0,3549.5226,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,769.57,244.57,0.0
gfx942,304,131072,3392,6144,ck,0,0,7121.4263,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,767.15,240.87,0.0
gfx942,304,1,4096,6144,ck,8,0,20.8053,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.42,1210.28,0.0
